pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_receipt_date
G01,PARTS INCORPORATED,G7479,SHOCKS FRO,956.97,1295.00,2,1913.94,,3777808,2026-03-06
H05,PARTS INCORPORATED,FOR210C,CLUTCH MAS,522.08,725.00,1,522.08,,I9195,2026-02-27
H05,PARTS INCORPORATED,TOY438,WHEEL CYL/,140.11,210.00,2,280.22,,,
M04,PARTS INCORPORATED,4PK875,FAN BELT,46.37,75.00,2,92.74,2023-08-11,,
R10,PARTS INCORPORATED,TP5-17,RADIATOR C,32.46,60.00,3,97.38,,,
S11,PARTS INCORPORATED,TR5393,TIEROD END,270.00,415.00,1,270.00,2023-05-27,,
S11,PARTS INCORPORATED,TR5401,TIE ROD EN,146.06,225.00,1,146.06,2022-11-21,,
S11,PARTS INCORPORATED,TR5476,RACK END,92.14,145.00,2,184.28,,,
S11,PARTS INCORPORATED,TR5503,RACK ENDS,114.84,180.00,1,114.84,,,
S11,PARTS INCORPORATED,TR5649,RACK ENDS,106.96,165.00,2,213.92,2022-11-19,,
S11,PARTS INCORPORATED,TR5682,STAB LINK,80.98,125.00,2,161.96,,,
S11,PARTS INCORPORATED,TR5883,RACK ENDS,128.73,200.00,2,257.46,,,
S11,PARTS INCORPORATED,TR6239,YARIS RACK,122.24,190.00,2,244.48,2023-01-20,2210514P,2026-02-16
S11,PARTS INCORPORATED,TR6265,STAB LINK,97.52,155.00,2,195.04,,,
T01,PARTS INCORPORATED,ET03M,MIDAS EXTE,174.72,260.00,1,174.72,2020-09-26,,
T01,PARTS INCORPORATED,ET05M,EXT SET 1/,160.16,235.00,1,160.16,2019-08-30,,
T01,PARTS INCORPORATED,HC03,HAMMER,185.30,305.00,1,185.30,2023-09-09,,
T01,PARTS INCORPORATED,HS05,HACKSAW PR,89.24,145.00,2,178.48,2021-10-01,ERME6182,2025-03-01
T01,PARTS INCORPORATED,PL3PC,PLIER SET ,206.64,300.00,1,206.64,2023-04-14,,
T01,PARTS INCORPORATED,PLW250,PLIER WATE,146.94,220.00,2,293.88,2021-08-03,03691213,2026-02-24
T01,PARTS INCORPORATED,SD21M,DEEP SOCKE,90.00,150.00,1,90.00,,ERQP2243,2023-11-30
T01,PARTS INCORPORATED,SF12M,FLEXI COMB,145.00,240.00,1,145.00,,ERQP2232,2023-11-29
T01,PARTS INCORPORATED,SF15,SPANNER FL,63.55,100.00,1,63.55,2020-02-10,ERQY6382,2024-02-20
T01,PARTS INCORPORATED,SF16,SPANNER  ,69.70,110.00,1,69.70,2021-04-30,ERQQ3115,2023-12-10
T01,PARTS INCORPORATED,SK13PC,SOCKET SET,435.00,715.00,1,435.00,2023-11-04,ERQU9414,2024-01-22
T01,PARTS INCORPORATED,SOD09,DEEP SOCKE,40.59,70.00,1,40.59,2023-03-13,,
W05,PARTS INCORPORATED,PQ106F,WHEEL BEAR,109.75,160.00,2,219.50,,,
W05,PARTS INCORPORATED,PQ702N,REAR BEARI,303.66,440.00,2,607.32,,,
W07,PARTS INCORPORATED,NWP5135,WATER PUMP,410.40,595.00,1,410.40,,,
W07,PARTS INCORPORATED,NWP7285,WATER PUMP,285.15,420.00,1,285.15,,,
W07,PARTS INCORPORATED,NWP8020,TAZZ W/PUM,372.69,535.00,1,372.69,2023-02-08,,
W07,PARTS INCORPORATED,NWP8175,WATER PUMP,249.50,360.00,1,249.50,2022-10-01,2632406,2025-09-27
W09,PARTS INCORPORATED,3397006834,WIPER ,160.33,265.00,1,160.33,,,
