pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_receipt_date
E20,PARTS INCORPORATED,SS023,SOLENOID L,157.64,220.00,1,157.64,2017-03-15,,
E20,PARTS INCORPORATED,SS1508,NIS E20 SO,149.93,215.00,1,149.93,2022-03-29,,
E20,PARTS INCORPORATED,SS354,SOLENOID,243.11,395.00,2,486.22,,,
E21,PARTS INCORPORATED,28100-10040,4AGE STATE,397.62,565.00,1,397.62,2018-12-19,,
E21,PARTS INCORPORATED,8-971333-691,OPEL CORSA,711.74,1015.00,1,711.74,,,
e23,PARTS INCORPORATED,35070,fan switch,102.90,160.00,1,102.90,,,
E23,PARTS INCORPORATED,FS101,F.SWITCH,136.06,200.00,1,136.06,2019-08-01,,
E23,PARTS INCORPORATED,FS102,FAN SWITCH,119.21,155.00,1,119.21,2012-10-19,,
E23,PARTS INCORPORATED,FS2002,FAN SWITCH,139.23,200.00,1,139.23,2008-01-25,,
E23,PARTS INCORPORATED,FS2036,FAN SWITCH,116.40,220.00,2,232.80,2020-02-18,,
E28,PARTS INCORPORATED,PT155,toyota 5l,53.92,80.00,1,53.92,2019-07-30,,
E28,PARTS INCORPORATED,Y-508J,SOENTO CRD,191.31,270.00,4,765.24,2022-07-23,,
F01,PARTS INCORPORATED,FP1817,FUEL PUMP,122.04,210.00,2,244.08,2023-12-20,,
F01,PARTS INCORPORATED,FP510,FUEL PUMP,75.92,125.00,1,75.92,2018-03-28,,
f02,PARTS INCORPORATED,ac53gud,cabin filt,173.96,255.00,1,173.96,,,
f02,PARTS INCORPORATED,ac55,cabin filt,79.66,120.00,1,79.66,,,
f02,PARTS INCORPORATED,ADG1588R,air filter,233.44,395.00,1,233.44,2023-09-13,,
f02,PARTS INCORPORATED,adg808,sani old 1,365.21,530.00,1,365.21,2023-09-13,,
f02,PARTS INCORPORATED,adg978,,212.69,315.00,1,212.69,2021-09-11,,
f02,PARTS INCORPORATED,ag1153,"audi,golf ",200.71,295.00,1,200.71,,,
f02,PARTS INCORPORATED,ag1201,air filter,206.34,300.00,1,206.34,2023-12-22,,
f02,PARTS INCORPORATED,AG1470,"ford ka,sa",161.59,240.00,1,161.59,2023-12-07,ERMN4396,2025-06-05
f02,PARTS INCORPORATED,AG1473,panel air ,243.34,365.00,2,486.68,,,
f02,PARTS INCORPORATED,ag1506,tata xenon,307.95,450.00,1,307.95,2022-05-14,,
f02,PARTS INCORPORATED,ag1536,307 air fi,186.30,275.00,1,186.30,2023-02-04,,
f02,PARTS INCORPORATED,AG1559p,,223.69,345.00,1,223.69,,,
f02,PARTS INCORPORATED,AG1567,air filter,65.16,135.00,2,130.32,2022-08-05,,
f02,PARTS INCORPORATED,ag1924,renault cl,103.67,155.00,1,103.67,,,
