pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_trans_date
G01,PARTS INCORPORATED,SR4507T,,205.00,340.00,2,410.00,2022-11-30,NO HISTORY,
H05,PARTS INCORPORATED,cs206.8060,CLUTCH SLA,283.15,410.00,1,283.15,2022-02-07,NO HISTORY,
M04,PARTS INCORPORATED,3PK687,FAN BELT,32.76,55.00,1,32.76,,NO HISTORY,
S11,PARTS INCORPORATED,15879AP,RACK ENDS,194.77,320.00,1,194.77,2022-11-24,NO HISTORY,
S11,PARTS INCORPORATED,TR6276,TIE ROD EN,288.00,400.00,1,288.00,2023-09-13,NO HISTORY,
T01,PARTS INCORPORATED,ET03M,MIDAS EXTE,118.63,170.00,1,118.63,2020-09-26,NO HISTORY,
T01,PARTS INCORPORATED,HC03,HAMMER,183.07,295.00,2,366.14,2023-10-27,NO HISTORY,
T01,PARTS INCORPORATED,HS01,HACKSAW ST,84.05,140.00,1,84.05,2023-03-06,ERME6182,2025-03-01
T01,PARTS INCORPORATED,HS08M,HEX SOCKET,39.00,65.00,3,117.00,2023-11-10,ERMO1335,2025-06-11
T01,PARTS INCORPORATED,SC26,SPANNER,34.00,60.00,1,34.00,2023-10-27,3800939,2026-03-11
T01,PARTS INCORPORATED,SF11,SPANNER FL,45.25,75.00,1,45.25,2022-09-30,ERQQ3136,2023-12-10
T01,PARTS INCORPORATED,SOD23,DEEP SOCKE,44.85,75.00,1,44.85,2022-04-13,3719620,2026-02-26
T01,PARTS INCORPORATED,T41695,4PC REDUCE,194.00,280.00,2,388.00,,NO HISTORY,
T01,PARTS INCORPORATED,T71899,BRAKE PAD ,125.22,200.00,2,250.44,,NO HISTORY,
T01,PARTS INCORPORATED,TL-T45M,T45 TORX S,50.96,80.00,2,101.92,,03812154,2026-03-12
T01,PARTS INCORPORATED,TX-T25,SOCKET TOR,36.90,65.00,2,73.80,2023-10-07,3710775,2026-02-26
T02,PARTS INCORPORATED,RB9968,R/BEARING,87.66,145.00,1,87.66,2020-10-21,NO HISTORY,
T13,PARTS INCORPORATED,94835,TIMING BEL,406.74,670.00,1,406.74,2022-11-08,NO HISTORY,
W05,PARTS INCORPORATED,SKF108,BRG KIT,210.65,305.00,2,421.30,2023-04-01,557294,2024-06-18
W07,PARTS INCORPORATED,NWP3415,OPEL M 1.6,353.84,510.00,1,353.84,2020-08-29,NO HISTORY,
W07,PARTS INCORPORATED,nwp3495,WATER PUMP,263.84,405.00,1,263.84,2023-07-08,NO HISTORY,
W07,PARTS INCORPORATED,NWP6010,WTR PUMP N,167.05,270.00,1,167.05,2021-04-06,NO HISTORY,
W09,PARTS INCORPORATED,3397118930,F30 WIPER ,310.08,420.00,1,310.08,,NO HISTORY,
